Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
3/6/20,1817.674921,14,9,4578,2907.046041,0.576278766,1.897402287,0.264413685,55,52409589,1922430
3/7/20,2677.690946,91,91,541,263.4042082,0.923961948,1.363453627,0.299850762,125,42238512,61386
3/8/20,1899.264601,58,40,8328,5906.30195,0.894702,1.960687399,0.246345192,88,46057602,4393411
3/9/20,1741.266576,17,14,3777,2446.57531,0.623153112,1.771525383,0.245930642,37,63812667,1039759
3/10/20,1884.606236,30,23,7059,4890.840336,0.793343606,2.193779707,0.247800291,84,57344207,2743591
3/11/20,1939.89745,51,30,7837,5390.640481,0.830097827,1.960658431,0.257708162,84,50322471,3994853
3/12/20,1673.732353,,,787,375.3850944,0.479539751,1.258023143,0.250038654,7,68146866,60081
3/13/20,1768.945194,4,4,2753,1742.969537,0.625136278,1.453059316,0.242701128,37,84828074,1484208
3/14/20,1669.715526,,,75,11.56567347,,,,,86400000,
3/15/20,1921.815529,45,29,8564,5880.959437,0.696211369,1.978966475,0.249581039,102,75018138,3606960
3/16/20,1801.277894,23,12,1176,663.7325249,0.958650554,1.435615659,0.279810816,39,84726091,
3/17/20,1928.636114,57,33,3673,2710.432729,0.45611591,1.857909918,0.255887955,58,64601582,1946271
3/18/20,1891.164611,27,19,5222,3678.169016,1.054139613,1.884956002,0.265330523,61,51118393,2953751
3/19/20,1781.806737,18,9,152,48.97616053,0.55528459,0.5681898,0.542379379,9,60942796,60031
3/20/20,2086.716971,74,42,4953,3293.875366,0.808320978,1.805250049,0.252937287,85,54142689,2487446
3/21/20,1708.742024,,,269,29.90362388,0.758809924,0.758809924,0.758809924,17,85355773,
3/22/20,1788.578115,26,13,124,43.25120831,0.959159986,1.001838803,0.389915705,14,71087853,69891
3/23/20,2075.465496,99,60,10480,7820.812897,0.855066774,2.050246716,0.255978286,91,60280169,6067462
3/24/20,2003.469301,47,26,4387,2892.980395,0.661654954,1.908752322,0.315336436,73,77099498,2711204
3/25/20,1905.574383,56,28,270,92.11109048,0.561032355,0.860991359,0.350442827,30,66627836,64094
